condition,onset,duration,value
root,12.0,2.0,1
root,23.75,2.0,1
root,37.5,2.0,1
root,59.25,2.0,1
root,82.0,2.0,1
root,94.75,2.0,1
root,106.5,2.0,1
root,125.25,2.0,1
root,143.0,2.0,1
root,165.75,2.0,1
root,187.5,2.0,1
root,202.25,2.0,1
root,223.0,2.0,1
root,232.75,2.0,1
root,253.5,2.0,1
root,271.25,2.0,1
root,286.0,2.0,1
root,302.75,2.0,1
root,320.5,2.0,1
root,334.25,2.0,1
root,357.0,2.0,1
root,372.75,2.0,1
root,387.5,2.0,1
root,405.25,2.0,1
root,421.0,2.0,1
root,437.75,2.0,1
root,457.5,2.0,1
root,482.25,2.0,1
root,494.0,2.0,1
root,515.75,2.0,1
choice,18.0,0.75,1
choice,30.75,0.75,1
choice,46.5,0.75,1
choice,66.25,0.75,1
choice,86.0,0.75,1
choice,100.75,0.75,1
choice,113.5,0.75,1
choice,129.25,0.75,1
choice,153.0,0.75,1
choice,172.75,0.75,1
choice,192.5,0.75,1
choice,210.25,0.75,1
choice,227.0,0.75,1
choice,238.75,0.75,1
choice,259.5,0.75,1
choice,276.25,0.75,1
choice,295.0,0.75,1
choice,308.75,0.75,1
choice,325.5,0.75,1
choice,341.25,0.75,1
choice,363.0,0.75,1
choice,380.75,0.75,1
choice,393.5,0.75,1
choice,412.25,0.75,1
choice,430.0,0.75,1
choice,443.75,0.75,1
choice,462.5,0.75,1
choice,488.25,0.75,1
choice,503.0,0.75,1
choice,523.75,0.75,1
feedback,20.75,1.0,1
feedback,33.5,1.0,1
feedback,52.25,1.0,1
feedback,76.0,1.0,1
feedback,90.75,1.0,1
feedback,103.5,1.0,1
feedback,121.25,1.0,1
feedback,136.0,1.0,1
feedback,157.75,1.0,1
feedback,178.5,1.0,1
feedback,198.25,1.0,1
feedback,215.0,1.0,1
feedback,229.75,1.0,1
feedback,247.5,1.0,1
feedback,263.25,1.0,1
feedback,282.0,1.0,1
feedback,299.75,1.0,1
feedback,313.5,1.0,1
feedback,329.25,1.0,1
feedback,346.0,1.0,1
feedback,367.75,1.0,1
feedback,384.5,1.0,1
feedback,399.25,1.0,1
feedback,415.0,1.0,1
feedback,434.75,1.0,1
feedback,451.5,1.0,1
feedback,475.25,1.0,1
feedback,491.0,1.0,1
feedback,511.75,1.0,1
feedback,527.5,1.0,1
